,pr_gene_symbol,coefficient
2146,EZH2,0.03173888257013536
3385,ICAM3,0.0016487135336083656
5261,PHKG2,0.00379630622791722
10765,KDM5B,0.01695084183218858
25839,COG4,0.005291356197739253
4172,MCM3,0.003277795682207759
23161,SNX13,0.005863615181925741
10298,PAK4,-0.024319377842303546
1802,DPH2,-0.009364113547849467
58533,SNX6,0.013531616827721927
147179,WIPF2,0.0080079744754293
29937,NENF,-0.011024925903947788
6184,RPN1,-0.0064394875111714114
9854,C2CD2L,-0.0022524977780806832
2553,GABPB1,-0.022269242120705055
5440,POLR2K,-0.023461590742155775
54623,PAF1,0.008228224468908633
9533,POLR1C,-0.030059909861530187
8607,RUVBL1,-0.005359562685073829
207,AKT1,0.020626479721931393
26054,SENP6,-0.021883746630240855
10682,EBP,0.015638077500037376
8573,CASK,-0.01841614263760721
23378,RRP8,0.014168001632265267
8553,BHLHE40,0.01546610698343795
622,BDH1,0.019200653308201948
9467,SH3BP5,-0.010844295593729533
5525,PPP2R5A,-0.027831750188682676
256364,EML3,-0.003940567638852076
332,BIRC5,0.0033440721582910734
2058,EPRS,-0.006845527995271876
7849,PAX8,0.01901810364060358
23244,PDS5A,-0.0022979363338671384
7494,XBP1,0.014111608647879192
4836,NMT1,-0.007747980012674056
23647,ARFIP2,0.002528380366177008
10617,STAMBP,-0.011746890285121202
2184,FAH,-0.006244848298898612
5355,PLP2,-0.0008413826140147967
6659,SOX4,-0.050093078308290684
7016,TESK1,0.024250315959020944
90861,HN1L,0.010947591013580055
10670,RRAGA,0.018705164035146986
79071,ELOVL6,0.0508900699281229
64746,ACBD3,-0.013263397311682948
5366,PMAIP1,-0.021274225252856688
11344,TWF2,0.013749071876848503
10013,HDAC6,-0.03426573367636795
5829,PXN,-0.016385071796539034
5257,PHKB,-0.00248470560805
22794,CASC3,-0.013043689445577808
9761,MLEC,0.011447338429304166
23326,USP22,0.01905082774163481
10972,TMED10,-0.03008920790530674
10523,CHERP,-0.017285885686280984
79090,TRAPPC6A,-0.03604275651381502
27032,ATP2C1,-0.007993367711391303
9097,USP14,-0.01065077032384865
10513,APPBP2,-0.003186408768447039
1891,ECH1,-0.010801099624319915
3066,HDAC2,0.00020354803367799413
9801,MRPL19,0.0020791831063037202
1459,CSNK2A2,0.007924389954151909
9703,KIAA0100,0.030597088140846912
10606,PAICS,-0.010852171451146461
1017,CDK2,0.02169710717609766
9813,EFCAB14,0.005909309482894603
7485,WRB,-0.008539842984825836
2109,ETFB,-0.008349297653658262
