,pr_gene_symbol,coefficient
9897,KIAA0196,0.0030490870618274345
1759,DNM1,0.005679887764608531
54541,DDIT4,0.0031988088271923606
211,ALAS1,-0.0021509302925293767
5048,PAFAH1B1,0.0004629462750032962
84722,PSRC1,0.0012286727645626691
29890,RBM15B,0.005240957514868212
9868,TOMM70A,-0.0044014174818322324
873,CBR1,0.00054722619729361
5580,PRKCD,0.007223876020665185
3725,JUN,-0.009190752425780704
23585,TMEM50A,0.004402806131207139
51097,SCCPDH,0.0022322735247200737
1831,TSC22D3,-4.7618501983215924e-05
7020,TFAP2A,0.0015986485750803445
55893,ZNF395,-0.012182693211052626
6944,VPS72,0.0004812163407830187
22883,CLSTN1,-0.007235006535165039
5601,MAPK9,0.0004845093561620704
10775,POP4,0.014875516815981548
4780,NFE2L2,-0.00033817575973930664
10904,BLCAP,0.0067381431753815845
9917,FAM20B,0.0024769690401796325
1399,CRKL,0.003185704486928461
24149,ZNF318,-0.0019559139607896584
2222,FDFT1,0.004885274035058896
10131,TRAP1,-0.0035729570460260106
2958,GTF2A2,-0.0009127453880929774
9650,MTFR1,-0.0021859205664128867
7319,UBE2A,0.004373261784955309
4817,NIT1,0.0020710037799319164
9143,SYNGR3,0.0007804096179592513
10494,STK25,-0.008141881018264715
55324,ABCF3,0.003665435786060163
23149,FCHO1,0.009277296551826193
9943,OXSR1,-0.000149820318527337
6599,SMARCC1,-0.008954232483180198
51031,GLOD4,-0.0076737537324821845
3566,IL4R,0.0003395516514619916
3815,KIT,0.0032803335405684948
8624,PSMG1,-0.0026107518669746866
27346,TMEM97,0.0066007435036678375
10489,LRRC41,-0.0008229747432384402
26128,KIF1BP,0.0048520126767787755
79921,TCEAL4,-0.005669107351369694
55746,NUP133,-0.0009452065706752179
23636,NUP62,0.005209363275719693
10892,MALT1,-6.816850399791005e-05
10652,YKT6,0.0017298171162090396
11004,KIF2C,-0.0013964083798260374
23530,NNT,-0.0012439484333018756
8826,IQGAP1,-0.001589253646389201
3308,HSPA4,0.0019507073296286934
7153,TOP2A,0.005475013413404688
11041,B4GAT1,0.00827266565064396
6342,SCP2,-0.0037078657764757967
5883,RAD9A,0.003416219347075061
10589,DRAP1,0.00846146860248598
5110,PCMT1,-0.0007246113095420659
4609,MYC,0.004312739426800209
5423,POLB,-0.005310026598159106
1070,CETN3,-0.0009136137109963114
10051,SMC4,0.006674091842281479
6603,SMARCD2,0.001966340423429967
9019,MPZL1,-0.0003993687664639423
10969,EBNA1BP2,0.0011615738806429752
9797,TATDN2,0.000809220107324646
4043,LRPAP1,-0.012913606093276834
9519,TBPL1,0.003924444975406678
8480,RAE1,-0.006222348684575848
983,CDK1,0.004506793107564017
10559,SLC35A1,0.0015185900891077058
8508,NIPSNAP1,-0.0036036778706607245
9275,BCL7B,-0.0013901687885078224
8914,TIMELESS,0.00795696679841677
54505,DHX29,0.005076524600171363
6919,TCEA2,-0.00483387733029335
2274,FHL2,0.003550127816263727
2288,FKBP4,0.001367612215730734
7994,KAT6A,0.008744333678334599
4216,MAP3K4,0.0014580990009326476
7538,ZFP36,-0.004416795954386872
3628,INPP1,-0.0012578308711726613
2037,EPB41L2,-0.0005721256399604082
2771,GNAI2,-0.007127689249532996
7264,TSTA3,0.006656044360502155
1786,DNMT1,-0.006437295684474327
5873,RAB27A,-0.0017807263752759573
780,DDR1,0.0009216356613110736
9926,LPGAT1,0.0005310723763548891
8446,DUSP11,-0.005054716486677729
7159,TP53BP2,0.004108318329756003
1026,CDKN1A,-0.0031776668666760348
7082,TJP1,0.0073385349650740605
10058,ABCB6,-0.0022085694935722083
10797,MTHFD2,-0.01640305491793452
11230,PRAF2,0.004952647973802848
30836,DNTTIP2,0.000680226458094647
27336,HTATSF1,-0.007331790377049322
9918,NCAPD2,-0.00044828580197114654
79073,TMEM109,-0.0078018465932837705
9688,NUP93,0.0010168912278112354
23659,PLA2G15,-0.008676794743113257
