	pert_id	pert_iname	inchi_key_prefix	inchi_key	canonical_smiles	pubchem_cid
4248	BRD-K14951088	BRD-K14951088	CJZRHNNVPHEALW	CJZRHNNVPHEALW-IBGZPJMESA-N	COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C[C@]31CCN(CC1)S(C)(=O)=O)C(=O)c1cnccn1	60189959
4249	BRD-K14952621	BRD-K14952621	WYRQMVCVXSYSKJ	WYRQMVCVXSYSKJ-MCIONIFRSA-N	CN(C)C(=O)C[C@H]1CC[C@@H](NC(=O)C2CCOCC2)[C@H](CO)O1	54638730
4250	BRD-K14958998	BRD-K14958998	FGARXSMYVPQAMN	FGARXSMYVPQAMN-IMWIBFENSA-N	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)C3CCOCC3)cc2OC[C@H](C)N(Cc2nccs2)C[C@H]1C	54631574
4251	BRD-K14965640	ibuprofen-(S)	HEFNNWSXXWATRW	HEFNNWSXXWATRW-JTQLQIEISA-N	CC(C)Cc1ccc(cc1)[C@H](C)C(O)=O	39912
4252	BRD-K14971087	BRD-K14971087	UWMJOJNRDSZDAZ	UWMJOJNRDSZDAZ-MFOYMVSRSA-N	CN1[C@@H]2CC[C@@H](CC(=O)N[C@@H]3CCN(Cc4ccccc4)C3)O[C@H]2COc2ccc(NC(=O)c3ccc(F)c(F)c3)cc2C1=O	54654336
4253	BRD-K14974894	BRD-K14974894	SIGXZWYEWAPHMA	SIGXZWYEWAPHMA-YESZJQIVSA-N	OC[C@@H]1N[C@@H](C#N)[C@H]1c1ccc(cc1)C1=CCCCC1	54649938
4254	BRD-K14975149	BRD-K14975149	BRCGNKHUMRXIKW	BRCGNKHUMRXIKW-UHFFFAOYSA-N	O=C(OCC#CCSc1nnc(o1)-c1cccc2ccccc12)C1CCC1	44460126
4255	BRD-K14989056	BRD-K14989056	GQZCUBFEWXUTQS	GQZCUBFEWXUTQS-SFHVURJKSA-N	COc1ccc2c3c([C@H](CO)NC[C@]33CN(C3)C(=O)Nc3ccccc3F)n(C)c2c1	60189994
4256	BRD-K14989228	BRD-K14989228	DGDOMSZWPVXBGZ	DGDOMSZWPVXBGZ-KNKQGSTJSA-N	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(C)cc2)OCc3cn(CCCC1=O)nn3	44505113
4257	BRD-K14990409	BRD-K14990409	FNIHZEFWPVWWQI	FNIHZEFWPVWWQI-BULGAWEHSA-N	C/C=C/c1cnc2O[C@@H](CN(C)Cc3cccc(c3)C(=O)O)[C@H](C)CN([C@H](C)CO)C(=O)c2c1	54618201
4258	BRD-K14991967	GSK-650394	WVSBGSNVCDAMCF	WVSBGSNVCDAMCF-UHFFFAOYSA-N	OC(=O)c1ccc(cc1C1CCCC1)-c1c[nH]c2ncc(cc12)-c1ccccc1	25022668
4259	BRD-K14992578	BRD-K14992578	QTYAKTFIIZKPHO	QTYAKTFIIZKPHO-CTNGQTDRSA-N	O=C1N[C@@H](COCc2cn(CC[C@@H]1Cc1ccccc1)nn2)c1ccccc1	54649813
4260	BRD-K14993104	bemegride	ORRZGUBHBVWWOP	ORRZGUBHBVWWOP-UHFFFAOYSA-N	CCC1(C)CC(=O)NC(=O)C1	-666
4261	BRD-K14997413	BRD-K14997413	CUSMSBFNEHNGNQ	CUSMSBFNEHNGNQ-AWVRMFGXSA-N	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)OCc4cnnn4CCCC1=O	44494941
4262	BRD-K15010214	emedastine	KBUZBQVCBVDWKX	KBUZBQVCBVDWKX-UHFFFAOYSA-N	CCOCCn1c(nc2ccccc12)N1CCCN(C)CC1	3219
4263	BRD-K15013036	BRD-K15013036	QCIRQJIZWMFOON	QCIRQJIZWMFOON-FHWLQOOXSA-N	OC[C@@H]1O[C@H](CC(=O)N2CCc3ccccc3C2)C=C[C@@H]1NC(=O)C1CC1	54638534
4264	BRD-K15014572	BRD-K15014572	SSAZKPRPAYUHJV	SSAZKPRPAYUHJV-XYJFISCASA-N	OC[C@H]1[C@H]2[C@H](CNc3ccccc23)N1C(=O)Cc1ccccn1	54652565
4265	BRD-K15014948	tranexamic-acid	GYDJEQRTZSCIOI	GYDJEQRTZSCIOI-LJGSYFOKSA-N	NC[C@H]1CC[C@@H](CC1)C(O)=O	5526
4266	BRD-K15023392	BRD-K15023392	MVZYZZDTAGMQFB	MVZYZZDTAGMQFB-PJIZGREPSA-N	COC(=O)[C@H]1[C@H](CO)[C@H]2Cn3c(ccc(C4=CCCC4)c3=O)[C@H]2N1C(=O)Cc1cccnc1	54660889
4267	BRD-K15025317	BAY-11-7082	DOEWDSDBFRHVAP	DOEWDSDBFRHVAP-KRXBUXKQSA-N	Cc1ccc(cc1)S(=O)(=O)\C=C\C#N	-666
4268	BRD-K15028327	BRD-K15028327	ZYJJQNOXPHIYRR	ZYJJQNOXPHIYRR-GUXCAODWSA-N	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)CC(F)(F)F)cc2OC[C@H](C)N(C[C@H]1C)S(=O)(=O)c1cn(C)cn1	54632098
4269	BRD-K15029638	BRD-K15029638	OTPKLDQQMJMGEP	OTPKLDQQMJMGEP-SLQPCKNISA-N	OC[C@@H]1[C@H]([C@H]2CN(CC(=O)N12)C(=O)C1CCOCC1)c1ccc(cc1)C#CCc1ccccc1	60189201
4270	BRD-K15030062	BRD-K15030062	OMQHFJKBCUHLTI	OMQHFJKBCUHLTI-PNCHPQGNSA-N	COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]2Oc3c(cccc3C(=O)N(C[C@H]2C)[C@H](C)CO)N(C)C	44500461
4271	BRD-K15042749	BRD-K15042749	MNGSHUISMCUCGK	MNGSHUISMCUCGK-NGUCLKFSSA-N	C\C=C\c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)S(=O)(=O)c1cn(C)cn1	60184874
4272	BRD-K15050703	BRD-K15050703	CBAAPWVHONFTKW	CBAAPWVHONFTKW-DWLUSBQNSA-N	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4c(C)noc4C)cc3C1=O	54615109
4273	BRD-K15054362	BRD-K15054362	KBCWMOGVCSMCGQ	KBCWMOGVCSMCGQ-UHFFFAOYSA-N	Cc1csc(CNc2ncnc3ccc(cc23)c4cccnc4)c1	44142066
4274	BRD-K15086322	JNJ-10191584	MOIWSUQWIOVGRH	MOIWSUQWIOVGRH-UHFFFAOYSA-N	CN1CCN(CC1)C(=O)c1nc2ccc(Cl)cc2[nH]1	10446295
4275	BRD-K15104539	BRD-K15104539	KLEFMXRWIUTPPC	KLEFMXRWIUTPPC-FZBZCGEPSA-N	CN1[C@@H]2CC[C@H](CC(=O)NCCc3ccncc3)O[C@@H]2COc2ccc(NC(=O)Nc3ccccc3F)cc2C1=O	54653989
4276	BRD-K15107389	BRD-K15107389	XASCINRGTHLHGM	XASCINRGTHLHGM-UHFFFAOYSA-N	O=C1c2ccccc2-c3c(NCCc4ccccc4)c(=O)[nH]c5cccc1c35	1080352
